tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10
Photograph (0.9763691),Bride (0.9685648),Bridal veil (0.9589829),Wedding dress (0.9429994),Headpiece (0.93157566),Lady (0.9304001),Vintage clothing (0.9162357),Bridal clothing (0.8902826),Wedding (0.8791692),Ceremony (0.8628333)
Photograph (0.9743536),Retro style (0.93579817),Vintage clothing (0.9162357),Snapshot (0.878202),Gentleman (0.74867886),Photography (0.7060428),Stock photography (0.70398533),Black-and-white (0.6834213),Family (0.65172046),Smile (0.6410647)
Photograph (0.9792845),Bridal veil (0.9757241),Bride (0.95391184),Veil (0.93377),Dress (0.9225689),Wedding dress (0.92004573),Bridal accessory (0.87030804),Gown (0.870275),Snapshot (0.8491508),Lady (0.8433756)
Bride (0.9932841),Gown (0.9830797),Wedding dress (0.97929925),Photograph (0.9790434),Bridal veil (0.9773057),Dress (0.9563435),Bridal clothing (0.9487812),Bridal accessory (0.94256485),Lady (0.8953211),Formal wear (0.88252646)
Photograph (0.97336257),Snapshot (0.87014455),Photography (0.77525955),Black-and-white (0.74367446),Photographic paper (0.7344805),Stock photography (0.7136223),Room (0.6566393),null (null),null (null),null (null)
Photograph (0.97701067),Snapshot (0.8740874),Stock photography (0.76159376),Black-and-white (0.74367446),Photography (0.73799706),Room (0.6566393),Photographic paper (0.63339746),Wedding (0.6303423),Monochrome photography (0.5780445),Ceremony (0.56492394)
Photograph (0.9781416),People (0.94799167),Snapshot (0.8760254),Standing (0.8660289),Wedding (0.8351101),Ceremony (0.82105094),Child (0.7929112),Vintage clothing (0.774055),Black-and-white (0.74367446),Event (0.74063903)
Bride (0.9826222),Photograph (0.9792845),Bridal veil (0.9724575),Gown (0.9675511),Wedding dress (0.9655941),Dress (0.9438646),Lady (0.9340535),Bridal accessory (0.9292649),Bridal clothing (0.91885716),Standing (0.8900103)
Photograph (0.9776194),Wedding dress (0.92004573),Dress (0.9145027),Gown (0.9050557),Bride (0.9049515),Bridal clothing (0.88286686),Ceremony (0.88008684),Snapshot (0.8740874),Wedding (0.8696167),Bridal veil (0.86355305)
Photograph (0.9780584),Snapshot (0.8681764),Vintage clothing (0.8619434),Male (0.80898863),Ceremony (0.79788923),Formal wear (0.7860653),Groom (0.76316804),Wedding (0.7595578),Stock photography (0.74950224),Black-and-white (0.74367446)
Photograph (0.97521025),Bride (0.92588896),Wedding (0.9004733),Ceremony (0.8959774),Wedding dress (0.8841859),Groom (0.8723291),Male (0.85218287),Lady (0.8433756),Snapshot (0.8358544),Bridal veil (0.8239321)
