tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
50s,0.4309745,40s,0.28787863,10s,0.06933989,00s,0.05501844,20s,0.050595652
40s,0.40931648,50s,0.3966532,30s,0.040682185,20s,0.039927986,60s,0.03707562
50s,0.89427316,40s,0.06837594,70s,0.015206774,60s,0.010261054,30s,0.003712928
50s,0.6707809,40s,0.24079761,60s,0.046914067,30s,0.017072367,20s,0.009159556
30s,0.4523833,50s,0.1402893,60s,0.11738766,20s,0.11155001,40s,0.095323674
40s,0.758047,50s,0.16769709,00s,0.021558927,10s,0.020597134,60s,0.020548422
10s,0.31659362,20s,0.18324688,00s,0.15910725,40s,0.15717593,30s,0.1285146
50s,0.60051435,40s,0.1400136,70s,0.08743291,60s,0.061711177,30s,0.04301184
50s,0.29445207,30s,0.26075935,20s,0.21802416,40s,0.059358522,00s,0.05732502
50s,0.8421407,40s,0.12295187,10s,0.012168855,00s,0.011461536,30s,0.004706726
50s,0.59518015,70s,0.13667296,30s,0.12271408,60s,0.11609269,40s,0.012297496
50s,0.8536967,40s,0.1099294,10s,0.012962761,00s,0.011998951,20s,0.004031497
50s,0.9230954,40s,0.053711753,30s,0.00657882,60s,0.0056526684,20s,0.0039349264
50s,0.6254321,70s,0.10292639,40s,0.09091215,30s,0.08185061,60s,0.056203652
50s,0.8698885,40s,0.063407674,70s,0.022870485,60s,0.01703993,30s,0.017011832
30s,0.3416443,70s,0.28903115,20s,0.12988599,60s,0.09313613,50s,0.08730098
60s,0.29767573,30s,0.25699905,70s,0.23602492,50s,0.12887748,20s,0.041436955
50s,0.73746264,40s,0.17438081,10s,0.024502106,20s,0.020865107,00s,0.018655624
50s,0.7388705,40s,0.08168598,70s,0.070809014,60s,0.05221394,30s,0.028934956
50s,0.6711435,60s,0.112934865,40s,0.09638094,70s,0.059142493,10s,0.023820892
50s,0.8313282,40s,0.14086697,00s,0.006979862,30s,0.0062182215,10s,0.0052160397
60s,0.5679982,50s,0.37430418,40s,0.034027066,70s,0.020633224,30s,0.0023530286
50s,0.42720646,40s,0.29750112,10s,0.101833396,00s,0.08700015,20s,0.048513535
50s,0.25064692,40s,0.22712451,20s,0.1911537,30s,0.15404674,60s,0.09405023
30s,0.67577153,20s,0.2729193,10s,0.014318272,00s,0.0123023605,50s,0.010366218
